ダイレクト商品ID,サプライヤーID,商品管理番号,商品URL,商品名,ショップ名,消費者向け商品説明文,消費者向け商品詳細（サイズ・容量、規格）,JANコード,商品管理枝番号,内訳,参考価格種別,上代価格(税抜),卸価格単価(税抜),セット毎数量,セット卸額(税込),セット卸額(税抜),セット卸額(消費税),税率区分,出荷条件,商品画像1,商品画像2,商品画像3,商品画像4,商品画像5,商品画像6,商品画像7,商品画像8,商品画像9,商品画像10,画像転載可,ネット販売可,ネットオークション可,消費者直送可,品切れ
21419209-8,755316,SY2398Z,https://www.netsea.jp/shop/755316/SY2398Z,ブラウス シャツ トップス レディース Vネック 長袖シャツ シフォンシャツ Sweet 韓国風,Primo,これからのシーズンに大人気なトップスです。<br>デイリー使いにおススメです♪<br>一着持っていると大活躍するトップスです。<br>,"■素材：ポリエステル<br>
■カラー：1#〜5#<br>
■サイズ：フリーサイズ<br>
M:着丈約62cm、バスト約114cm、肩幅約32cm、袖丈約63cm<br>
L:着丈約63cm、バスト約118cm、肩幅約33cm、袖丈約64cm<br>
XL:着丈約64cm、バスト約122cm、肩幅約34cm、袖丈約65cm<br>",,SY2398Z-8,3#(M),O,,2258,1,2483,2258,225,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,21419209_0.jpg,21419209_1.jpg,21419209_2.jpg,21419209_3.jpg,21419209_4.jpg,21419209_5.jpg,21419209_6.jpg,21419209_7.jpg,21419209_8.jpg,21419209_9.jpg,Y,Y,Y,Y,N
21419209-9,755316,SY2398Z,https://www.netsea.jp/shop/755316/SY2398Z,ブラウス シャツ トップス レディース Vネック 長袖シャツ シフォンシャツ Sweet 韓国風,Primo,これからのシーズンに大人気なトップスです。<br>デイリー使いにおススメです♪<br>一着持っていると大活躍するトップスです。<br>,"■素材：ポリエステル<br>
■カラー：1#〜5#<br>
■サイズ：フリーサイズ<br>
M:着丈約62cm、バスト約114cm、肩幅約32cm、袖丈約63cm<br>
L:着丈約63cm、バスト約118cm、肩幅約33cm、袖丈約64cm<br>
XL:着丈約64cm、バスト約122cm、肩幅約34cm、袖丈約65cm<br>",,SY2398Z-9,3#(L),O,,2258,1,2483,2258,225,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,21419209_0.jpg,21419209_1.jpg,21419209_2.jpg,21419209_3.jpg,21419209_4.jpg,21419209_5.jpg,21419209_6.jpg,21419209_7.jpg,21419209_8.jpg,21419209_9.jpg,Y,Y,Y,Y,N
21419209-10,755316,SY2398Z,https://www.netsea.jp/shop/755316/SY2398Z,ブラウス シャツ トップス レディース Vネック 長袖シャツ シフォンシャツ Sweet 韓国風,Primo,これからのシーズンに大人気なトップスです。<br>デイリー使いにおススメです♪<br>一着持っていると大活躍するトップスです。<br>,"■素材：ポリエステル<br>
■カラー：1#〜5#<br>
■サイズ：フリーサイズ<br>
M:着丈約62cm、バスト約114cm、肩幅約32cm、袖丈約63cm<br>
L:着丈約63cm、バスト約118cm、肩幅約33cm、袖丈約64cm<br>
XL:着丈約64cm、バスト約122cm、肩幅約34cm、袖丈約65cm<br>",,SY2398Z-10,3#(XL),O,,2258,1,2483,2258,225,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,21419209_0.jpg,21419209_1.jpg,21419209_2.jpg,21419209_3.jpg,21419209_4.jpg,21419209_5.jpg,21419209_6.jpg,21419209_7.jpg,21419209_8.jpg,21419209_9.jpg,Y,Y,Y,Y,N
21419209-11,755316,SY2398Z,https://www.netsea.jp/shop/755316/SY2398Z,ブラウス シャツ トップス レディース Vネック 長袖シャツ シフォンシャツ Sweet 韓国風,Primo,これからのシーズンに大人気なトップスです。<br>デイリー使いにおススメです♪<br>一着持っていると大活躍するトップスです。<br>,"■素材：ポリエステル<br>
■カラー：1#〜5#<br>
■サイズ：フリーサイズ<br>
M:着丈約62cm、バスト約114cm、肩幅約32cm、袖丈約63cm<br>
L:着丈約63cm、バスト約118cm、肩幅約33cm、袖丈約64cm<br>
XL:着丈約64cm、バスト約122cm、肩幅約34cm、袖丈約65cm<br>",,SY2398Z-11,4#(M),O,,2258,1,2483,2258,225,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,21419209_0.jpg,21419209_1.jpg,21419209_2.jpg,21419209_3.jpg,21419209_4.jpg,21419209_5.jpg,21419209_6.jpg,21419209_7.jpg,21419209_8.jpg,21419209_9.jpg,Y,Y,Y,Y,N
21419209-12,755316,SY2398Z,https://www.netsea.jp/shop/755316/SY2398Z,ブラウス シャツ トップス レディース Vネック 長袖シャツ シフォンシャツ Sweet 韓国風,Primo,これからのシーズンに大人気なトップスです。<br>デイリー使いにおススメです♪<br>一着持っていると大活躍するトップスです。<br>,"■素材：ポリエステル<br>
■カラー：1#〜5#<br>
■サイズ：フリーサイズ<br>
M:着丈約62cm、バスト約114cm、肩幅約32cm、袖丈約63cm<br>
L:着丈約63cm、バスト約118cm、肩幅約33cm、袖丈約64cm<br>
XL:着丈約64cm、バスト約122cm、肩幅約34cm、袖丈約65cm<br>",,SY2398Z-12,4#(L),O,,2258,1,2483,2258,225,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,21419209_0.jpg,21419209_1.jpg,21419209_2.jpg,21419209_3.jpg,21419209_4.jpg,21419209_5.jpg,21419209_6.jpg,21419209_7.jpg,21419209_8.jpg,21419209_9.jpg,Y,Y,Y,Y,N
21419209-13,755316,SY2398Z,https://www.netsea.jp/shop/755316/SY2398Z,ブラウス シャツ トップス レディース Vネック 長袖シャツ シフォンシャツ Sweet 韓国風,Primo,これからのシーズンに大人気なトップスです。<br>デイリー使いにおススメです♪<br>一着持っていると大活躍するトップスです。<br>,"■素材：ポリエステル<br>
■カラー：1#〜5#<br>
■サイズ：フリーサイズ<br>
M:着丈約62cm、バスト約114cm、肩幅約32cm、袖丈約63cm<br>
L:着丈約63cm、バスト約118cm、肩幅約33cm、袖丈約64cm<br>
XL:着丈約64cm、バスト約122cm、肩幅約34cm、袖丈約65cm<br>",,SY2398Z-13,4#(XL),O,,2258,1,2483,2258,225,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,21419209_0.jpg,21419209_1.jpg,21419209_2.jpg,21419209_3.jpg,21419209_4.jpg,21419209_5.jpg,21419209_6.jpg,21419209_7.jpg,21419209_8.jpg,21419209_9.jpg,Y,Y,Y,Y,N
21419209-14,755316,SY2398Z,https://www.netsea.jp/shop/755316/SY2398Z,ブラウス シャツ トップス レディース Vネック 長袖シャツ シフォンシャツ Sweet 韓国風,Primo,これからのシーズンに大人気なトップスです。<br>デイリー使いにおススメです♪<br>一着持っていると大活躍するトップスです。<br>,"■素材：ポリエステル<br>
■カラー：1#〜5#<br>
■サイズ：フリーサイズ<br>
M:着丈約62cm、バスト約114cm、肩幅約32cm、袖丈約63cm<br>
L:着丈約63cm、バスト約118cm、肩幅約33cm、袖丈約64cm<br>
XL:着丈約64cm、バスト約122cm、肩幅約34cm、袖丈約65cm<br>",,SY2398Z-14,5#(M),O,,2258,1,2483,2258,225,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,21419209_0.jpg,21419209_1.jpg,21419209_2.jpg,21419209_3.jpg,21419209_4.jpg,21419209_5.jpg,21419209_6.jpg,21419209_7.jpg,21419209_8.jpg,21419209_9.jpg,Y,Y,Y,Y,N
21419209-15,755316,SY2398Z,https://www.netsea.jp/shop/755316/SY2398Z,ブラウス シャツ トップス レディース Vネック 長袖シャツ シフォンシャツ Sweet 韓国風,Primo,これからのシーズンに大人気なトップスです。<br>デイリー使いにおススメです♪<br>一着持っていると大活躍するトップスです。<br>,"■素材：ポリエステル<br>
■カラー：1#〜5#<br>
■サイズ：フリーサイズ<br>
M:着丈約62cm、バスト約114cm、肩幅約32cm、袖丈約63cm<br>
L:着丈約63cm、バスト約118cm、肩幅約33cm、袖丈約64cm<br>
XL:着丈約64cm、バスト約122cm、肩幅約34cm、袖丈約65cm<br>",,SY2398Z-15,5#(L),O,,2258,1,2483,2258,225,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,21419209_0.jpg,21419209_1.jpg,21419209_2.jpg,21419209_3.jpg,21419209_4.jpg,21419209_5.jpg,21419209_6.jpg,21419209_7.jpg,21419209_8.jpg,21419209_9.jpg,Y,Y,Y,Y,N
21419209-16,755316,SY2398Z,https://www.netsea.jp/shop/755316/SY2398Z,ブラウス シャツ トップス レディース Vネック 長袖シャツ シフォンシャツ Sweet 韓国風,Primo,これからのシーズンに大人気なトップスです。<br>デイリー使いにおススメです♪<br>一着持っていると大活躍するトップスです。<br>,"■素材：ポリエステル<br>
■カラー：1#〜5#<br>
■サイズ：フリーサイズ<br>
M:着丈約62cm、バスト約114cm、肩幅約32cm、袖丈約63cm<br>
L:着丈約63cm、バスト約118cm、肩幅約33cm、袖丈約64cm<br>
XL:着丈約64cm、バスト約122cm、肩幅約34cm、袖丈約65cm<br>",,SY2398Z-16,5#(XL),O,,2258,1,2483,2258,225,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,21419209_0.jpg,21419209_1.jpg,21419209_2.jpg,21419209_3.jpg,21419209_4.jpg,21419209_5.jpg,21419209_6.jpg,21419209_7.jpg,21419209_8.jpg,21419209_9.jpg,Y,Y,Y,Y,N
20636594-1,755316,SY2122Z,https://www.netsea.jp/shop/755316/SY2122Z,2024年新作 ブラウス シフォンシャツ レディーストップス 長袖シャツ ランタンスリープ 気質 オシャレ,Primo,可愛いレディスブラウスが入荷致しました。パンツやスカートと合わせてピッタリですね。,"■素材：ポリエステル
■カラー：1#〜4#
■サイズ：
S：着丈約72cm、バスト約138cm、袖丈約57cm、肩幅約38cm<br>
M：着丈約72cm、バスト約138cm、袖丈約58cm、肩幅約39cm<br>
L：着丈約73cm、バスト約140cm、袖丈約59cm、肩幅約40cm<br>
XL：着丈約73cm、バスト約140cm、袖丈約60cm、肩幅約41cm<br>",,SY2122Z-1,1#(S),O,,2876,1,3163,2876,287,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,20636594_0.jpg,20636594_1.jpg,20636594_2.jpg,20636594_3.jpg,20636594_4.jpg,20636594_5.jpg,20636594_6.jpg,20636594_7.jpg,20636594_8.jpg,20636594_9.jpg,Y,Y,Y,Y,N
20636594-2,755316,SY2122Z,https://www.netsea.jp/shop/755316/SY2122Z,2024年新作 ブラウス シフォンシャツ レディーストップス 長袖シャツ ランタンスリープ 気質 オシャレ,Primo,可愛いレディスブラウスが入荷致しました。パンツやスカートと合わせてピッタリですね。,"■素材：ポリエステル
■カラー：1#〜4#
■サイズ：
S：着丈約72cm、バスト約138cm、袖丈約57cm、肩幅約38cm<br>
M：着丈約72cm、バスト約138cm、袖丈約58cm、肩幅約39cm<br>
L：着丈約73cm、バスト約140cm、袖丈約59cm、肩幅約40cm<br>
XL：着丈約73cm、バスト約140cm、袖丈約60cm、肩幅約41cm<br>",,SY2122Z-2,1#(M),O,,2876,1,3163,2876,287,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,20636594_0.jpg,20636594_1.jpg,20636594_2.jpg,20636594_3.jpg,20636594_4.jpg,20636594_5.jpg,20636594_6.jpg,20636594_7.jpg,20636594_8.jpg,20636594_9.jpg,Y,Y,Y,Y,N
20636594-3,755316,SY2122Z,https://www.netsea.jp/shop/755316/SY2122Z,2024年新作 ブラウス シフォンシャツ レディーストップス 長袖シャツ ランタンスリープ 気質 オシャレ,Primo,可愛いレディスブラウスが入荷致しました。パンツやスカートと合わせてピッタリですね。,"■素材：ポリエステル
■カラー：1#〜4#
■サイズ：
S：着丈約72cm、バスト約138cm、袖丈約57cm、肩幅約38cm<br>
M：着丈約72cm、バスト約138cm、袖丈約58cm、肩幅約39cm<br>
L：着丈約73cm、バスト約140cm、袖丈約59cm、肩幅約40cm<br>
XL：着丈約73cm、バスト約140cm、袖丈約60cm、肩幅約41cm<br>",,SY2122Z-3,1#(L),O,,2876,1,3163,2876,287,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,20636594_0.jpg,20636594_1.jpg,20636594_2.jpg,20636594_3.jpg,20636594_4.jpg,20636594_5.jpg,20636594_6.jpg,20636594_7.jpg,20636594_8.jpg,20636594_9.jpg,Y,Y,Y,Y,N
20636594-4,755316,SY2122Z,https://www.netsea.jp/shop/755316/SY2122Z,2024年新作 ブラウス シフォンシャツ レディーストップス 長袖シャツ ランタンスリープ 気質 オシャレ,Primo,可愛いレディスブラウスが入荷致しました。パンツやスカートと合わせてピッタリですね。,"■素材：ポリエステル
■カラー：1#〜4#
■サイズ：
S：着丈約72cm、バスト約138cm、袖丈約57cm、肩幅約38cm<br>
M：着丈約72cm、バスト約138cm、袖丈約58cm、肩幅約39cm<br>
L：着丈約73cm、バスト約140cm、袖丈約59cm、肩幅約40cm<br>
XL：着丈約73cm、バスト約140cm、袖丈約60cm、肩幅約41cm<br>",,SY2122Z-4,1#(XL),O,,2876,1,3163,2876,287,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,20636594_0.jpg,20636594_1.jpg,20636594_2.jpg,20636594_3.jpg,20636594_4.jpg,20636594_5.jpg,20636594_6.jpg,20636594_7.jpg,20636594_8.jpg,20636594_9.jpg,Y,Y,Y,Y,N
20636594-5,755316,SY2122Z,https://www.netsea.jp/shop/755316/SY2122Z,2024年新作 ブラウス シフォンシャツ レディーストップス 長袖シャツ ランタンスリープ 気質 オシャレ,Primo,可愛いレディスブラウスが入荷致しました。パンツやスカートと合わせてピッタリですね。,"■素材：ポリエステル
■カラー：1#〜4#
■サイズ：
S：着丈約72cm、バスト約138cm、袖丈約57cm、肩幅約38cm<br>
M：着丈約72cm、バスト約138cm、袖丈約58cm、肩幅約39cm<br>
L：着丈約73cm、バスト約140cm、袖丈約59cm、肩幅約40cm<br>
XL：着丈約73cm、バスト約140cm、袖丈約60cm、肩幅約41cm<br>",,SY2122Z-5,2#(S),O,,2876,1,3163,2876,287,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,20636594_0.jpg,20636594_1.jpg,20636594_2.jpg,20636594_3.jpg,20636594_4.jpg,20636594_5.jpg,20636594_6.jpg,20636594_7.jpg,20636594_8.jpg,20636594_9.jpg,Y,Y,Y,Y,N
20636594-6,755316,SY2122Z,https://www.netsea.jp/shop/755316/SY2122Z,2024年新作 ブラウス シフォンシャツ レディーストップス 長袖シャツ ランタンスリープ 気質 オシャレ,Primo,可愛いレディスブラウスが入荷致しました。パンツやスカートと合わせてピッタリですね。,"■素材：ポリエステル
■カラー：1#〜4#
■サイズ：
S：着丈約72cm、バスト約138cm、袖丈約57cm、肩幅約38cm<br>
M：着丈約72cm、バスト約138cm、袖丈約58cm、肩幅約39cm<br>
L：着丈約73cm、バスト約140cm、袖丈約59cm、肩幅約40cm<br>
XL：着丈約73cm、バスト約140cm、袖丈約60cm、肩幅約41cm<br>",,SY2122Z-6,2#(M),O,,2876,1,3163,2876,287,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,20636594_0.jpg,20636594_1.jpg,20636594_2.jpg,20636594_3.jpg,20636594_4.jpg,20636594_5.jpg,20636594_6.jpg,20636594_7.jpg,20636594_8.jpg,20636594_9.jpg,Y,Y,Y,Y,N
20636594-7,755316,SY2122Z,https://www.netsea.jp/shop/755316/SY2122Z,2024年新作 ブラウス シフォンシャツ レディーストップス 長袖シャツ ランタンスリープ 気質 オシャレ,Primo,可愛いレディスブラウスが入荷致しました。パンツやスカートと合わせてピッタリですね。,"■素材：ポリエステル
■カラー：1#〜4#
■サイズ：
S：着丈約72cm、バスト約138cm、袖丈約57cm、肩幅約38cm<br>
M：着丈約72cm、バスト約138cm、袖丈約58cm、肩幅約39cm<br>
L：着丈約73cm、バスト約140cm、袖丈約59cm、肩幅約40cm<br>
XL：着丈約73cm、バスト約140cm、袖丈約60cm、肩幅約41cm<br>",,SY2122Z-7,2#(L),O,,2876,1,3163,2876,287,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,20636594_0.jpg,20636594_1.jpg,20636594_2.jpg,20636594_3.jpg,20636594_4.jpg,20636594_5.jpg,20636594_6.jpg,20636594_7.jpg,20636594_8.jpg,20636594_9.jpg,Y,Y,Y,Y,N
20636594-8,755316,SY2122Z,https://www.netsea.jp/shop/755316/SY2122Z,2024年新作 ブラウス シフォンシャツ レディーストップス 長袖シャツ ランタンスリープ 気質 オシャレ,Primo,可愛いレディスブラウスが入荷致しました。パンツやスカートと合わせてピッタリですね。,"■素材：ポリエステル
■カラー：1#〜4#
■サイズ：
S：着丈約72cm、バスト約138cm、袖丈約57cm、肩幅約38cm<br>
M：着丈約72cm、バスト約138cm、袖丈約58cm、肩幅約39cm<br>
L：着丈約73cm、バスト約140cm、袖丈約59cm、肩幅約40cm<br>
XL：着丈約73cm、バスト約140cm、袖丈約60cm、肩幅約41cm<br>",,SY2122Z-8,2#(XL),O,,2876,1,3163,2876,287,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,20636594_0.jpg,20636594_1.jpg,20636594_2.jpg,20636594_3.jpg,20636594_4.jpg,20636594_5.jpg,20636594_6.jpg,20636594_7.jpg,20636594_8.jpg,20636594_9.jpg,Y,Y,Y,Y,N
